"Customer Profile","Профиль клиента"
"Product","Товар"
"Product Category","Категории товаров"
"Sales Order","Заказ на продажу"
"Contract","Договор"
"Installment Plan","План рассрочки"
"Payment Transaction","Платежная транзакция"
"Branch","Филиал"
"Warehouse","Склад"
"Stock Ledger","Складской учет"
"Stock Entry","Складская запись"
"Merchant Settings","Настройки продавца"
"Print Template","Шаблон печати"
"Data Import Tool","Инструмент импорта"
"SMS Gateway Settings","Настройки SMS шлюза"
"Nasiya365","Nasiya365"
"Customers","Клиенты"
"Products","Товары"
"Sales Orders","Заказы на продажу"
"Contracts","Договоры"
"Installment Plans","Планы рассрочки"
"Payment Transactions","Платежные транзакции"
"Branches","Филиалы"
"Warehouses","Склады"
"Stock Entries","Складские записи"
